source,target,mean,std
2,2,0.948447274453808,0.0329739451780207
2,4,0.8754919076806593,0.08107258903558925
2,5,0.9062432220823434,0.06188337465107947
2,6,0.8699814553480967,0.08302918096184364
2,8,0.8598132468048952,0.09551171514121329
4,2,0.8913267376673549,0.0658707669083493
4,4,0.9537000994110474,0.020864506138561993
4,5,0.9161892748921074,0.03141072071263792
4,6,0.8664747069040383,0.07721229507196208
4,8,0.8803514030343242,0.031833389895888756
5,2,0.9028658937101115,0.06240910622431618
5,4,0.8981310397990973,0.052260772333551295
5,5,0.9581260569662513,0.01901432198977186
5,6,0.9203007671153568,0.031088807378891466
5,8,0.9087129977454205,0.031645728843996544
6,2,0.8916239796348772,0.048503840990535195
6,4,0.858401497812379,0.04727163715442362
6,5,0.9194190698335357,0.02879391473578528
6,6,0.9570360218555507,0.02043645354738785
6,8,0.886178259739153,0.040258223045364284
8,2,0.8516298802597377,0.09196429084452043
8,4,0.8610575103023368,0.05860671555287303
8,5,0.893911179141182,0.04234259284825167
8,6,0.8746585612968591,0.07110706297347552
8,8,0.9509118527506449,0.01725610108993145
